registerno,department,semester,staff,subject,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,average
S9wJz0MQUU3ss2B6SVgP9QqLxDZ+xaz/,Computer Science and Business Systems -A,4,Mr.S.Syed Fazlullah [SS], 23MAT401- Probability and Statistics [PS],1.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,8.20
S9wJz0MQUU3ss2B6SVgP9QqLxDZ+xaz/,Computer Science and Business Systems -A,4,Mrs.R.Pavithra [RP],23CST403 - Database Management Systems [DBMS],9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00
S9wJz0MQUU3ss2B6SVgP9QqLxDZ+xaz/,Computer Science and Business Systems -A,4,Mr. K. Arunjunai Karthick [KA],23CST402- Operating Systems [OS],9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00
S9wJz0MQUU3ss2B6SVgP9QqLxDZ+xaz/,Computer Science and Business Systems -A,4,Mrs.P.Latha [PL],23CST405 - Introduction to Business Systems [IBS],9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00
S9wJz0MQUU3ss2B6SVgP9QqLxDZ+xaz/,Computer Science and Business Systems -A,4,Mrs.C.Manonmani [CM],23ALT404- Machine Learning [ML],9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00
S9wJz0MQUU3ss2B6SVgP9QqLxDZ+xaz/,Computer Science and Business Systems -A,4,Dr.J.Thulasidasan [JT],23GET401- Enviornmental Sciences and Engineering [ES],9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00
S9wJz0MQUU3ss2B6SVgP9QqLxDZ+xaz/,Computer Science and Business Systems -A,4,Mrs.R.Pavithra [RP],23CSP402 - Database Management Systems [DBMS LAB],9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00
S9wJz0MQUU3ss2B6SVgP9QqLxDZ+xaz/,Computer Science and Business Systems -A,4,Mrs.C.Manonmani [CM],23ALP402 - Machine Learning [ML LAB],9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00
S9wJz0MQUU3ss2B6SVgP9QqLxDZ+xaz/,Computer Science and Business Systems -A,4,Dr.N.Kalaiarasi[NK],23CW3411- Business Communication [BC LAB-II],9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00
S9wJz0MQUU3ss2B6SVgP9QqLxDZ+xaz/,Computer Science and Business Systems -A,4,Mr. K. Arunjunai Karthick [KA],23CST402 - Operating Systems [OS LAB],9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00
S9wJz0MQUU3ss2B6SVgP9QqLxDZ+xaz/,Computer Science and Business Systems -A,4,Mr.Pradhap,Placement Training  Communication,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00
S9wJz0MQUU3ss2B6SVgP9QqLxDZ+xaz/,Computer Science and Business Systems -A,4,Mr.Thanu,Placement Training  coding,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00
/pRgqdWOKCxEIb8CEoyOIO7952yO5vhC,Computer Science and Engineering -A,4,Mrs.T.Gayathri [TG],23CST401- Theory of Computation (TOC),8.00,9.00,9.00,9.00,10.00,9.00,9.00,10.00,9.00,10.00,9.20
/pRgqdWOKCxEIb8CEoyOIO7952yO5vhC,Computer Science and Engineering -A,4,Ms.S.Kamali[SK],23ALT402- Artificial Intelligence and Machine Learning (AIML),10.00,8.00,9.00,10.00,9.00,8.00,10.00,9.00,10.00,9.00,9.20
/pRgqdWOKCxEIb8CEoyOIO7952yO5vhC,Computer Science and Engineering -A,4,Mr.K.Srinath Yadav [KSY],23CST403- Database Management Systems (DBMS),10.00,8.00,8.00,9.00,9.00,8.00,8.00,9.00,10.00,9.00,8.80
/pRgqdWOKCxEIb8CEoyOIO7952yO5vhC,Computer Science and Engineering -A,4,Mr.S.P. Prasanth [SPP],23CST404- Algorithms (ALG),10.00,9.00,8.00,9.00,9.00,10.00,9.00,8.00,10.00,9.00,9.10
/pRgqdWOKCxEIb8CEoyOIO7952yO5vhC,Computer Science and Engineering -A,4,Dr.M.Sangeetha [MS],23CST402-Introduction to Operating Systems (OS),10.00,9.00,9.00,9.00,10.00,9.00,9.00,9.00,10.00,9.00,9.30
/pRgqdWOKCxEIb8CEoyOIO7952yO5vhC,Computer Science and Engineering -A,4,Dr.J.Thulasi Dhasan [TD],23GET401- Environmental Sciences and Sustainability (ESS),9.00,9.00,10.00,10.00,9.00,9.00,9.00,10.00,9.00,9.00,9.30
/pRgqdWOKCxEIb8CEoyOIO7952yO5vhC,Computer Science and Engineering -A,4,Dr.M.Sangeetha [MS], 23CSP401- Operating Systems Laboratory,10.00,9.00,9.00,10.00,10.00,10.00,9.00,10.00,9.00,10.00,9.60
/pRgqdWOKCxEIb8CEoyOIO7952yO5vhC,Computer Science and Engineering -A,4,Mr.Arunjunai Karthick, 23CSP402- Database Management Systems      Laboratory,9.00,10.00,10.00,9.00,9.00,10.00,10.00,9.00,8.00,10.00,9.40
/pRgqdWOKCxEIb8CEoyOIO7952yO5vhC,Computer Science and Engineering -A,4,Ms.S.Kamali[SK],ALT402-Artificial Intelligence and Machine Learning Laboratory,10.00,9.00,9.00,10.00,10.00,9.00,10.00,9.00,9.00,9.00,9.40
/pRgqdWOKCxEIb8CEoyOIO7952yO5vhC,Computer Science and Engineering -A,4,Mr.S.P. Prasanth [SPP], 23CST404-Algorithm Laboratory (ALG LAB),9.00,9.00,10.00,9.00,9.00,9.00,10.00,10.00,10.00,10.00,9.50
/pRgqdWOKCxEIb8CEoyOIO7952yO5vhC,Computer Science and Engineering -A,4,Mr.Pradeesh,Placement Training (CODING),10.00,9.00,9.00,10.00,10.00,9.00,9.00,9.00,8.00,9.00,9.20
/pRgqdWOKCxEIb8CEoyOIO7952yO5vhC,Computer Science and Engineering -A,4,Mrs.Kamatchi,Placement Training (COMMUNICATION),9.00,10.00,9.00,9.00,10.00,9.00,10.00,9.00,9.00,9.00,9.30
iheecIUKlXdIhsraE24yuf8/84sQYeji,Computer Science and Engineering -A,4,Mrs.T.Gayathri [TG],23CST401- Theory of Computation (TOC),9.00,8.00,8.00,8.00,9.00,8.00,8.00,8.00,8.00,8.00,8.20
iheecIUKlXdIhsraE24yuf8/84sQYeji,Computer Science and Engineering -A,4,Ms.S.Kamali[SK],23ALT402- Artificial Intelligence and Machine Learning (AIML),8.00,8.00,9.00,8.00,9.00,8.00,9.00,9.00,8.00,8.00,8.40
iheecIUKlXdIhsraE24yuf8/84sQYeji,Computer Science and Engineering -A,4,Mr.K.Srinath Yadav [KSY],23CST403- Database Management Systems (DBMS),9.00,8.00,8.00,9.00,8.00,9.00,8.00,9.00,8.00,9.00,8.50
iheecIUKlXdIhsraE24yuf8/84sQYeji,Computer Science and Engineering -A,4,Mr.S.P. Prasanth [SPP],23CST404- Algorithms (ALG),9.00,8.00,9.00,8.00,9.00,8.00,8.00,8.00,9.00,8.00,8.40
iheecIUKlXdIhsraE24yuf8/84sQYeji,Computer Science and Engineering -A,4,Dr.M.Sangeetha [MS],23CST402-Introduction to Operating Systems (OS),8.00,8.00,9.00,8.00,9.00,8.00,8.00,8.00,9.00,8.00,8.30
