registerno,department,semester
922524243001,Artificial Intelligence and Data Science -A,2
922524243002,Artificial Intelligence and Data Science -A,2
922524243003,Artificial Intelligence and Data Science -A,2
922524243004,Artificial Intelligence and Data Science -A,2
922524243005,Artificial Intelligence and Data Science -A,2
922524243006,Artificial Intelligence and Data Science -A,2
922524243007,Artificial Intelligence and Data Science -A,2
922524243008,Artificial Intelligence and Data Science -A,2
922524243009,Artificial Intelligence and Data Science -A,2
922524243010,Artificial Intelligence and Data Science -A,2
922524243011,Artificial Intelligence and Data Science -A,2
922524243012,Artificial Intelligence and Data Science -A,2
922524243013,Artificial Intelligence and Data Science -A,2
922524243014,Artificial Intelligence and Data Science -A,2
922524243015,Artificial Intelligence and Data Science -A,2
922524243016,Artificial Intelligence and Data Science -A,2
922524243017,Artificial Intelligence and Data Science -A,2
922524243018,Artificial Intelligence and Data Science -A,2
922524243019,Artificial Intelligence and Data Science -A,2
922524243020,Artificial Intelligence and Data Science -A,2
922524243021,Artificial Intelligence and Data Science -A,2
922524243022,Artificial Intelligence and Data Science -A,2
922524243023,Artificial Intelligence and Data Science -A,2
922524243024,Artificial Intelligence and Data Science -A,2
922524243025,Artificial Intelligence and Data Science -A,2
922524243026,Artificial Intelligence and Data Science -A,2
922524243027,Artificial Intelligence and Data Science -A,2
922524243028,Artificial Intelligence and Data Science -A,2
922524243029,Artificial Intelligence and Data Science -A,2
922524243030,Artificial Intelligence and Data Science -A,2
922524243031,Artificial Intelligence and Data Science -A,2
922524243032,Artificial Intelligence and Data Science -A,2
922524243033,Artificial Intelligence and Data Science -A,2
922524243034,Artificial Intelligence and Data Science -A,2
922524243035,Artificial Intelligence and Data Science -A,2
922524243036,Artificial Intelligence and Data Science -A,2
922524243037,Artificial Intelligence and Data Science -A,2
922524243038,Artificial Intelligence and Data Science -A,2
922524243039,Artificial Intelligence and Data Science -A,2
922524243040,Artificial Intelligence and Data Science -A,2
922524243041,Artificial Intelligence and Data Science -A,2
922524243042,Artificial Intelligence and Data Science -A,2
922524243043,Artificial Intelligence and Data Science -A,2
922524243044,Artificial Intelligence and Data Science -A,2
922524243045,Artificial Intelligence and Data Science -A,2
922524243046,Artificial Intelligence and Data Science -A,2
922524243047,Artificial Intelligence and Data Science -A,2
922524243048,Artificial Intelligence and Data Science -A,2
922524243049,Artificial Intelligence and Data Science -A,2
922524243050,Artificial Intelligence and Data Science -A,2
922524243051,Artificial Intelligence and Data Science -A,2
922524243052,Artificial Intelligence and Data Science -A,2
922524243053,Artificial Intelligence and Data Science -A,2
922524243054,Artificial Intelligence and Data Science -A,2
922524243055,Artificial Intelligence and Data Science -A,2
922524243056,Artificial Intelligence and Data Science -A,2
922524243057,Artificial Intelligence and Data Science -A,2
922524243058,Artificial Intelligence and Data Science -A,2
922524243059,Artificial Intelligence and Data Science -A,2
922524243060,Artificial Intelligence and Data Science -A,2
922524243061,Artificial Intelligence and Data Science -A,2
922524243062,Artificial Intelligence and Data Science -B,2
922524243063,Artificial Intelligence and Data Science -B,2
922524243064,Artificial Intelligence and Data Science -B,2
922524243065,Artificial Intelligence and Data Science -B,2
922524243066,Artificial Intelligence and Data Science -B,2
922524243067,Artificial Intelligence and Data Science -B,2
922524243068,Artificial Intelligence and Data Science -B,2
922524243069,Artificial Intelligence and Data Science -B,2
922524243070,Artificial Intelligence and Data Science -B,2
922524243071,Artificial Intelligence and Data Science -B,2
922524243072,Artificial Intelligence and Data Science -B,2
922524243073,Artificial Intelligence and Data Science -B,2
922524243074,Artificial Intelligence and Data Science -B,2
922524243075,Artificial Intelligence and Data Science -B,2
922524243076,Artificial Intelligence and Data Science -B,2
922524243077,Artificial Intelligence and Data Science -B,2
922524243078,Artificial Intelligence and Data Science -B,2
922524243079,Artificial Intelligence and Data Science -B,2
922524243080,Artificial Intelligence and Data Science -B,2
922524243081,Artificial Intelligence and Data Science -B,2
922524243082,Artificial Intelligence and Data Science -B,2
922524243083,Artificial Intelligence and Data Science -B,2
922524243084,Artificial Intelligence and Data Science -B,2
922524243085,Artificial Intelligence and Data Science -B,2
922524243086,Artificial Intelligence and Data Science -B,2
922524243087,Artificial Intelligence and Data Science -B,2
922524243088,Artificial Intelligence and Data Science -B,2
922524243089,Artificial Intelligence and Data Science -B,2
922524243090,Artificial Intelligence and Data Science -B,2
922524243091,Artificial Intelligence and Data Science -B,2
922524243092,Artificial Intelligence and Data Science -B,2
922524243093,Artificial Intelligence and Data Science -B,2
922524243094,Artificial Intelligence and Data Science -B,2
922524243095,Artificial Intelligence and Data Science -B,2
922524243096,Artificial Intelligence and Data Science -B,2
922524243097,Artificial Intelligence and Data Science -B,2
922524243098,Artificial Intelligence and Data Science -B,2
922524243099,Artificial Intelligence and Data Science -B,2
922524243100,Artificial Intelligence and Data Science -B,2
922524243101,Artificial Intelligence and Data Science -B,2
922524243102,Artificial Intelligence and Data Science -B,2
922524243103,Artificial Intelligence and Data Science -B,2
922524243104,Artificial Intelligence and Data Science -B,2
922524243105,Artificial Intelligence and Data Science -B,2
922524243106,Artificial Intelligence and Data Science -B,2
922524243107,Artificial Intelligence and Data Science -B,2
922524243108,Artificial Intelligence and Data Science -B,2
922524243109,Artificial Intelligence and Data Science -B,2
922524243110,Artificial Intelligence and Data Science -B,2
922524243111,Artificial Intelligence and Data Science -B,2
922524243112,Artificial Intelligence and Data Science -B,2
922524243113,Artificial Intelligence and Data Science -B,2
922524243114,Artificial Intelligence and Data Science -B,2
922524243115,Artificial Intelligence and Data Science -B,2
922524243116,Artificial Intelligence and Data Science -B,2
922524243117,Artificial Intelligence and Data Science -B,2
922524243118,Artificial Intelligence and Data Science -B,2
922524243119,Artificial Intelligence and Data Science -B,2
922524243120,Artificial Intelligence and Data Science -B,2
922524243121,Artificial Intelligence and Data Science -B,2
922524243122,Artificial Intelligence and Data Science -B,2
922524243123,Artificial Intelligence and Data Science -B,2
922524243124,Artificial Intelligence and Data Science -C,2
922524243125,Artificial Intelligence and Data Science -C,2
922524243126,Artificial Intelligence and Data Science -C,2
922524243127,Artificial Intelligence and Data Science -C,2
922524243128,Artificial Intelligence and Data Science -C,2
922524243129,Artificial Intelligence and Data Science -C,2
922524243130,Artificial Intelligence and Data Science -C,2
922524243131,Artificial Intelligence and Data Science -C,2
922524243132,Artificial Intelligence and Data Science -C,2
922524243133,Artificial Intelligence and Data Science -C,2
922524243134,Artificial Intelligence and Data Science -C,2
922524243135,Artificial Intelligence and Data Science -C,2
