Original RegNo,Department,Semester
922523244015,Computer Science and Business Systems -A,4
922523104004,Computer Science and Engineering -A,4
922523104002,Computer Science and Engineering -A,4
922523104006,Computer Science and Engineering -A,4
922523104001,Computer Science and Engineering -A,4
922523104008,Computer Science and Engineering -A,4
922523104010,Computer Science and Engineering -A,4
922523104009,Computer Science and Engineering -A,4
922522104011,Computer Science and Engineering -A,6
922522104009,Computer Science and Engineering -A,6
922523104005,Computer Science and Engineering -A,4
922522104015,Computer Science and Engineering -A,6
922522104005,Computer Science and Engineering -A,6
922522104006,Computer Science and Engineering -A,6
922522104014,Computer Science and Engineering -A,6
922522104001,Computer Science and Engineering -A,6
922522104007,Computer Science and Engineering -A,6
922522104004,Computer Science and Engineering -A,6
922523203001,Chemical Engineering -A,4
922523104007,Computer Science and Engineering -A,4
922522104010,Computer Science and Engineering -A,6
922522105021,Electrical and Electronics Engineering -A,6
922522105037,Electrical and Electronics Engineering -A,6
922523104161,Computer Science and Engineering -C,4
922523104159,Computer Science and Engineering -C,4
922523104131,Computer Science and Engineering -C,4
922523104145,Computer Science and Engineering -C,4
922523104130,Computer Science and Engineering -C,4
922523104173,Computer Science and Engineering -C,4
922523104152,Computer Science and Engineering -C,4
922523104151,Computer Science and Engineering -C,4
922524148010,Artificial Intelligence and Machine Learning -A,2
922523104138,Computer Science and Engineering -C,4
922522105003,Electrical and Electronics Engineering -A,6
922523244051,Computer Science and Business Systems -A,4
922523104171,Computer Science and Engineering -C,4
922523104189,Computer Science and Engineering -C,4
922523104183,Computer Science and Engineering -C,4
922523104155,Computer Science and Engineering -C,4
922523104182,Computer Science and Engineering -C,4
922523104147,Computer Science and Engineering -C,4
922522105044,Electrical and Electronics Engineering -A,6
922523104141,Computer Science and Engineering -C,4
922523104167,Computer Science and Engineering -C,4
922523104137,Computer Science and Engineering -C,4
922522105025,Electrical and Electronics Engineering -A,6
922523104187,Computer Science and Engineering -C,4
922523104125,Computer Science and Engineering -C,4
922523104184,Computer Science and Engineering -C,4
922523104169,Computer Science and Engineering -C,4
922523104163,Computer Science and Engineering -C,4
922523104128,Computer Science and Engineering -C,4
922522105002,Electrical and Electronics Engineering -A,6
922523104170,Computer Science and Engineering -C,4
922523104135,Computer Science and Engineering -C,4
922523104156,Computer Science and Engineering -C,4
922523104162,Computer Science and Engineering -C,4
922523104154,Computer Science and Engineering -C,4
922523104136,Computer Science and Engineering -C,4
922523104153,Computer Science and Engineering -C,4
922523104146,Computer Science and Engineering -C,4
922523104302,Computer Science and Engineering -C,4
922523104168,Computer Science and Engineering -C,4
922523104158,Computer Science and Engineering -C,4
922523104144,Computer Science and Engineering -C,4
922523104177,Computer Science and Engineering -C,4
922523104132,Computer Science and Engineering -C,4
922523104188,Computer Science and Engineering -C,4
922523104148,Computer Science and Engineering -C,4
922523104129,Computer Science and Engineering -C,4
922523104126,Computer Science and Engineering -C,4
922523104127,Computer Science and Engineering -C,4
922523104142,Computer Science and Engineering -C,4
922523104149,Computer Science and Engineering -C,4
922523104166,Computer Science and Engineering -C,4
922523104134,Computer Science and Engineering -C,4
922522105007,Electrical and Electronics Engineering -A,6
922523104172,Computer Science and Engineering -C,4
922523104181,Computer Science and Engineering -C,4
922523104178,Computer Science and Engineering -C,4
922523104165,Computer Science and Engineering -C,4
922523104150,Computer Science and Engineering -C,4
922523104140,Computer Science and Engineering -C,4
922523104176,Computer Science and Engineering -C,4
922523104175,Computer Science and Engineering -C,4
922522105008,Electrical and Electronics Engineering -A,6
922523104133,Computer Science and Engineering -C,4
922523104143,Computer Science and Engineering -C,4
922523104305,Computer Science and Engineering -C,4
922523104179,Computer Science and Engineering -C,4
922523104139,Computer Science and Engineering -C,4
922522105302,Electrical and Electronics Engineering -A,6
922522105033,Electrical and Electronics Engineering -A,6
922522105048,Electrical and Electronics Engineering -A,6
922522105026,Electrical and Electronics Engineering -A,6
922523104157,Computer Science and Engineering -C,4
922523104186,Computer Science and Engineering -C,4
922523104164,Computer Science and Engineering -C,4
922523104077,Computer Science and Engineering -B,4
922522105004,Electrical and Electronics Engineering -A,6
922522105046,Electrical and Electronics Engineering -A,6
922522105301,Electrical and Electronics Engineering -A,6
922523104180,Computer Science and Engineering -C,4
922523104174,Computer Science and Engineering -C,4
922523104185,Computer Science and Engineering -C,4
922522105041,Electrical and Electronics Engineering -A,6
922522105014,Electrical and Electronics Engineering -A,6
922522105035,Electrical and Electronics Engineering -A,6
922523203012,Chemical Engineering -A,4
922522105042,Electrical and Electronics Engineering -A,6
922522105028,Electrical and Electronics Engineering -A,6
922522105030,Electrical and Electronics Engineering -A,6
922522105006,Electrical and Electronics Engineering -A,6
922523203004,Chemical Engineering -A,4
922522105045,Electrical and Electronics Engineering -A,6
922523203021,Chemical Engineering -A,4
922523203018,Chemical Engineering -A,4
922523203016,Chemical Engineering -A,4
922523203015,Chemical Engineering -A,4
922522105017,Electrical and Electronics Engineering -A,6
922522105010,Electrical and Electronics Engineering -A,6
922522105019,Electrical and Electronics Engineering -A,6
922522105013,Electrical and Electronics Engineering -A,6
